stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\17898981\projetos\Patronicos\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.63816] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63828] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.63838] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63849] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.63858] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63877] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.63890] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.63901] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.63910] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.63920] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.63935] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63949] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.63962] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63976] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.63985] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.63996] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.64006] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.64021] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.64030] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.64039] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.64049] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.64067] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.64076] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.64086] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.64094] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
